Weight vector: [[ 0.90032473  0.78604619  0.85077613  1.29870263  0.1298506   1.57192678
   0.99844888 -0.01520158]]
Learning rate: 0.75
Step	Cost
757	[15.01659397]
758	[15.01648363]
759	[15.01637363]
760	[15.01626399]
761	[15.0161547]
762	[15.01604575]
763	[15.01593715]
764	[15.0158289]
765	[15.01572099]
766	[15.01561343]
767	[15.0155062]
768	[15.01539932]
769	[15.01529278]
770	[15.01518658]
771	[15.01508072]
772	[15.0149752]
773	[15.01487001]
774	[15.01476515]
775	[15.01466063]
776	[15.01455644]
777	[15.01445259]
778	[15.01434906]
779	[15.01424587]
780	[15.014143]
781	[15.01404046]
782	[15.01393825]
783	[15.01383636]
784	[15.0137348]
785	[15.01363356]
786	[15.01353264]
787	[15.01343204]
788	[15.01333177]
789	[15.01323181]
790	[15.01313218]
791	[15.01303285]
792	[15.01293385]
793	[15.01283516]
794	[15.01273679]
795	[15.01263873]
796	[15.01254098]
797	[15.01244354]
798	[15.01234641]
799	[15.01224959]
800	[15.01215308]
801	[15.01205688]
802	[15.01196099]
803	[15.01186539]
804	[15.01177011]
805	[15.01167513]
806	[15.01158045]
807	[15.01148607]
808	[15.01139199]
809	[15.01129821]
810	[15.01120473]
811	[15.01111155]
812	[15.01101866]
813	[15.01092607]
814	[15.01083378]
815	[15.01074178]
816	[15.01065007]
817	[15.01055865]
818	[15.01046753]
819	[15.01037669]
820	[15.01028615]
821	[15.01019589]
822	[15.01010592]
823	[15.01001624]
824	[15.00992684]
825	[15.00983772]
826	[15.0097489]
827	[15.00966035]
828	[15.00957209]
829	[15.0094841]
830	[15.0093964]
831	[15.00930898]
832	[15.00922183]
833	[15.00913496]
834	[15.00904837]
835	[15.00896206]
836	[15.00887601]
837	[15.00879025]
838	[15.00870475]
839	[15.00861953]
840	[15.00853458]
841	[15.0084499]
842	[15.00836549]
843	[15.00828135]
844	[15.00819748]
845	[15.00811388]
846	[15.00803054]
847	[15.00794746]
848	[15.00786465]
849	[15.00778211]
850	[15.00769982]
851	[15.0076178]
852	[15.00753604]
853	[15.00745454]
854	[15.0073733]
855	[15.00729232]
856	[15.0072116]
857	[15.00713113]
858	[15.00705092]
859	[15.00697097]
860	[15.00689127]
861	[15.00681182]
862	[15.00673263]
863	[15.00665369]
864	[15.006575]
865	[15.00649656]
866	[15.00641837]
867	[15.00634043]
868	[15.00626274]
869	[15.00618529]
870	[15.0061081]
871	[15.00603114]
872	[15.00595444]
873	[15.00587797]
874	[15.00580175]
875	[15.00572578]
876	[15.00565004]
877	[15.00557455]
878	[15.0054993]
879	[15.00542428]
880	[15.00534951]
881	[15.00527497]
882	[15.00520067]
883	[15.00512661]
884	[15.00505279]
885	[15.00497919]
886	[15.00490584]
887	[15.00483271]
888	[15.00475982]
889	[15.00468716]
890	[15.00461474]
891	[15.00454254]
892	[15.00447057]
893	[15.00439884]
894	[15.00432733]
895	[15.00425605]
896	[15.00418499]
897	[15.00411416]
898	[15.00404356]
899	[15.00397318]
900	[15.00390303]
901	[15.0038331]
902	[15.00376339]
903	[15.00369391]
904	[15.00362464]
905	[15.0035556]
906	[15.00348678]
907	[15.00341817]
908	[15.00334979]
909	[15.00328162]
910	[15.00321367]
911	[15.00314593]
912	[15.00307841]
913	[15.00301111]
914	[15.00294402]
915	[15.00287714]
916	[15.00281048]
917	[15.00274403]
918	[15.00267779]
919	[15.00261176]
920	[15.00254594]
921	[15.00248034]
922	[15.00241494]
923	[15.00234975]
924	[15.00228476]
925	[15.00221999]
926	[15.00215542]
927	[15.00209105]
928	[15.00202689]
929	[15.00196294]
930	[15.00189918]
931	[15.00183563]
932	[15.00177229]
933	[15.00170914]
934	[15.0016462]
935	[15.00158346]
936	[15.00152091]
937	[15.00145857]
938	[15.00139642]
939	[15.00133448]
940	[15.00127273]
941	[15.00121117]
942	[15.00114981]
943	[15.00108865]
944	[15.00102768]
945	[15.00096691]
946	[15.00090633]
947	[15.00084594]
948	[15.00078575]
949	[15.00072575]
950	[15.00066593]
951	[15.00060631]
952	[15.00054688]
953	[15.00048764]
954	[15.00042859]
955	[15.00036972]
956	[15.00031104]
957	[15.00025255]
958	[15.00019425]
959	[15.00013613]
960	[15.00007819]
961	[15.00002044]
962	[14.99996288]
963	[14.99990549]
964	[14.99984829]
965	[14.99979128]
966	[14.99973444]
967	[14.99967779]
968	[14.99962131]
969	[14.99956502]
970	[14.9995089]
971	[14.99945296]
972	[14.99939721]
973	[14.99934162]
974	[14.99928622]
975	[14.99923099]
976	[14.99917594]
977	[14.99912106]
978	[14.99906636]
979	[14.99901183]
980	[14.99895748]
981	[14.9989033]
982	[14.99884929]
983	[14.99879546]
984	[14.99874179]
985	[14.9986883]
986	[14.99863497]
987	[14.99858182]
988	[14.99852883]
989	[14.99847602]
990	[14.99842337]
991	[14.99837089]
992	[14.99831858]
993	[14.99826643]
994	[14.99821445]
995	[14.99816264]
996	[14.99811099]
997	[14.9980595]
998	[14.99800818]
999	[14.99795702]
1000	[14.99790603]
1001	[14.9978552]
1002	[14.99780453]
1003	[14.99775402]
1004	[14.99770367]
1005	[14.99765348]
1006	[14.99760345]
1007	[14.99755358]
1008	[14.99750387]
1009	[14.99745432]
1010	[14.99740493]
1011	[14.99735569]
1012	[14.99730661]
1013	[14.99725769]
1014	[14.99720892]
1015	[14.99716031]
1016	[14.99711185]
1017	[14.99706355]
1018	[14.9970154]
1019	[14.9969674]
1020	[14.99691956]
1021	[14.99687187]
1022	[14.99682433]
1023	[14.99677694]
1024	[14.9967297]
1025	[14.99668262]
1026	[14.99663568]
1027	[14.99658889]
1028	[14.99654225]
1029	[14.99649576]
1030	[14.99644942]
1031	[14.99640323]
1032	[14.99635718]
1033	[14.99631128]
1034	[14.99626553]
1035	[14.99621992]
1036	[14.99617446]
1037	[14.99612914]
1038	[14.99608396]
1039	[14.99603893]
1040	[14.99599405]
1041	[14.9959493]
1042	[14.9959047]
1043	[14.99586024]
1044	[14.99581593]
1045	[14.99577175]
1046	[14.99572771]
1047	[14.99568382]
1048	[14.99564006]
1049	[14.99559645]
1050	[14.99555297]
1051	[14.99550963]
1052	[14.99546643]
1053	[14.99542336]
1054	[14.99538044]
1055	[14.99533765]
1056	[14.995295]
1057	[14.99525248]
1058	[14.9952101]
1059	[14.99516785]
1060	[14.99512574]
1061	[14.99508376]
1062	[14.99504191]
1063	[14.9950002]
1064	[14.99495862]
1065	[14.99491718]
1066	[14.99487586]
1067	[14.99483468]
1068	[14.99479363]
1069	[14.99475271]
1070	[14.99471191]
1071	[14.99467125]
1072	[14.99463072]
1073	[14.99459032]
1074	[14.99455005]
1075	[14.9945099]
1076	[14.99446988]
1077	[14.99442999]
1078	[14.99439023]
